Brand,Name,Color,RAM,Storage,Battery(mAh),Camera,Price(in Rs),Original Price(in Rs),Discount,Rating
vivo,vivo T5x 5G,Cyber Green,6.0,128.0,7200.0, 32MP Front Camera,24999.0,28999.0,13.79,4.4
realme,,,6.0,128.0,1000.0, 0MP Front Camera,1354.0,1799.0,24.74,4.2
MOTOROLA,MOTOROLA g67 power 5G,Pantone CILANTRO,12.0,256.0,7000.0, 32MP Front Camera,27999.0,30999.0,9.68,4.2
POCO,POCO C85x,Sunset Gold,4.0,128.0,6300.0, Expandable Upto 2 TB17.53 cm (6.9 inch) HD+ Display32MP Rear Camera,14999.0,21999.0,31.82,4.2
Samsung,Samsung Galaxy M17 5G,Sapphire Black,4.0,128.0,5000.0, 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera,17257.0,17999.0,4.12,4.1
Samsung,Samsung Galaxy F36 5G,Black,8.0,128.0,5000.0, 13MP Front Camera,23957.0,24499.0,2.21,4.2
realme,realme P4R 5G,Silver Glare,4.0,128.0,8000.0, 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera,19999.0,34999.0,42.86,4.2
Ai+,Ai+ Pulse 2,Blue,4.0,64.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,10999.0,,,4.2
REDMI,REDMI A7 Pro 5G,Sunset Orange,4.0,64.0,6300.0, Expandable Upto 64 GB17.53 cm (6.9 inch) Full HD+ Display32MP Rear Camera,13878.0,15999.0,13.26,4.0
MOTOROLA,MOTOROLA g57 power 5G Snapdragon,Pantone Corsair,8.0,128.0,7000.0, 8MP Front Camera,21999.0,,,4.4
realme,,,6.0,128.0,800.0, 32 MB ROM4.5 cm (1.77 inch) Display0MP Front Camera,1049.0,1349.0,22.24,4.0
POCO,POCO C81x,Ice Blue,3.0,64.0,5200.0, Expandable Upto 2 TB17.48 cm (6.88 inch) Display13MP Rear Camera,11999.0,18999.0,36.84,4.0
realme,,,6.0,128.0,1800.0, 0MP Front Camera,1488.0,2190.0,32.05,4.1
LAVA,LAVA Bold N2 Lite,Kolar Gold,3.0,64.0,5000.0, Expandable Upto 512 GB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera,8999.0,11499.0,21.74,4.1
realme,,,6.0,128.0,800.0, 0MP Front Camera,1084.0,1499.0,27.69,3.9
Google,Google Pixel 11,Frost,12.0,256.0,4985.0, 10.5MP Front Camera,89999.0,,,4.208928571428571
Google,Google Pixel 11,Obsidian,12.0,256.0,4985.0, 10.5MP Front Camera,89999.0,,,4.208928571428571
POCO,POCO C85x,Emerald Green,4.0,64.0,6300.0, Expandable Upto 2 TB17.53 cm (6.9 inch) HD+ Display32MP Rear Camera,13999.0,20999.0,33.33,4.2
