Brand,Name,Color,RAM,Storage,Battery(mAh),Camera,Price(in Rs),Original Price(in Rs),Discount,Rating
Samsung,Samsung Galaxy M17e,Vibe Violet,4.0,128.0,6000.0, Expandable Upto 128 GB17.02 cm (6.7 inch) Full HD+ Display50MP Rear Camera,15837.0,18999.0,16.64,4.0
Ai+,Ai+ Nova 2 5G,Blue,4.0,128.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,14999.0,17499.0,14.29,4.3
POCO,POCO C85x,Elite Black,4.0,64.0,6300.0, Expandable Upto 2 TB17.53 cm (6.9 inch) HD+ Display32MP Rear Camera,13999.0,20999.0,33.33,4.2
realme,,,6.0,128.0,1400.0, 160 MB ROM6.1 cm (2.4 inch) QVGA Display1.3MP Rear Camera,1299.0,1899.0,31.6,3.9
realme,realme P4 Power 5G Charger in the Box,TransOrange,8.0,128.0,10001.0,,29999.0,50999.0,41.18,4.4
realme,realme P4 Power 5G Charger in the Box,TransOrange,8.0,256.0,10001.0,,31999.0,55999.0,42.86,4.4
OnePlus,OnePlus Nord CE6,Pitch Black,8.0,128.0,8000.0, Expandable Upto 128 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera,32921.0,40999.0,19.7,4.5
IQOO,IQOO Neo 10,Alpine White,8.0,256.0,7000.0, 256 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP Rear Camera,45984.0,45999.0,0.03,4.5
vivo,vivo X200T,Stellar Black,12.0,256.0,6200.0, 32MP Front Camera,59999.0,80000.0,25.0,4.6
realme,,,6.0,128.0,2000.0, Expandable Upto 32 GB6.1 cm (2.4 inch) Display0.8MP Rear Camera,1458.0,1599.0,8.82,4.0
vivo,vivo X200T,Stellar Black,12.0,512.0,6200.0, 32MP Front Camera,69999.0,87999.0,20.45,4.6
HMD,HMD Vibe2 5G,Cosmic Lavender,4.0,128.0,6000.0, 128 GB ROM17.02 cm (6.7 inch) HD+ Display50MP Rear Camera,16999.0,19999.0,15.0,4.5
OnePlus,OnePlus Nord CE6 Lite,Vivid Mint,6.0,128.0,7000.0, Expandable Upto 128 GB17.07 cm (6.72 inch) Full HD+ Display50MP Rear Camera,27756.0,31999.0,13.26,4.3
POCO,POCO M8,Glacial Blue,6.0,128.0,5520.0, Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ Display50MP Rear Camera,24999.0,25999.0,3.85,4.3
realme,,,6.0,128.0,1000.0, 0MP Front Camera,1049.0,1399.0,25.02,4.2
Ai+,Ai+ Nova 2 Neo 5G,Blue,4.0,64.0,6000.0, Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display48MP Rear Camera,14999.0,17999.0,16.67,4.4
Samsung,Samsung Galaxy A35 5G,Awesome Navy,8.0,128.0,5000.0, 13MP Front Camera,18999.0,33999.0,44.12,4.4
Apple,Apple iPhone 17 Pro,Silver,6.0,128.0,6000.0, 18MP Front Camera,132900.0,134900.0,1.48,4.7
Ai+,Ai+ Nova 2 Pro 5G,Blue,8.0,128.0,6000.0, Expandable Upto 2 TB17.53 cm (6.9 inch) Full HD+ Display48MP Rear Camera,19999.0,22999.0,13.04,4.0
Samsung,Samsung S25 Ultra 5G,Titanium Gray,12.0,256.0,5000.0, 12MP Front Camera,94655.0,129999.0,27.19,4.6
realme,,,6.0,128.0,1000.0,,1099.0,1249.0,12.01,4.0
Nothing,Nothing Phone (4b),4b) (Black,8.0,128.0,6000.0, 16MP Front Camera,34999.0,54999.0,36.36,4.4
Samsung,Samsung Galaxy S25 5G,Icyblue,12.0,256.0,4000.0, 12MP Front Camera,79999.0,80999.0,1.23,4.6
realme,realme P4R 5G,Lavender Glare,6.0,128.0,8000.0, 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera,21999.0,39999.0,45.0,4.4
realme,realme P4R 5G,Lavender Glare,4.0,128.0,8000.0, 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera,19999.0,34999.0,42.86,4.2
realme,realme P4x 5G,Matte Silver,8.0,128.0,7000.0, 8MP Front Camera,23499.0,43999.0,46.59,4.3
